,AllScores,AllAiScores
0,20230.61670794115,0
1,42078.72234382493,0
2,32763.062232019412,0
3,34532.30305648327,0
4,36628.02268691695,0
5,48908.67298383952,0
6,46404.71181276271,0
7,39034.43580787314,0
8,30987.427741306594,0
9,26991.65900072691,0
10,44770.757376265436,0
11,32842.33840692768,0
12,32749.17058053969,0
13,34143.92123979319,0
14,42221.02817849212,0
15,35763.640817039726,0
16,37301.64220887578,20
17,36701.581317561155,20
18,33983.13012151129,20
19,33099.68287930469,20
20,33931.93551372135,20
21,44624.63546957375,20
22,41042.3508434168,20
23,44416.52839541585,20
24,37115.369885201966,20
25,36019.94719139921,20
26,13717.190244475845,20
27,33871.38895865157,20
28,21343.112029061285,20
29,34454.39735222919,20
30,22700.6900170258,20
31,29281.09611075997,20
32,41565.69707753018,40
33,47227.20739137317,40
34,44486.35206709429,40
35,26761.092268268283,40
36,29541.55666290535,40
37,46868.831460163245,40
38,40880.69120288387,40
39,35588.099572580824,40
40,30073.20049823486,40
41,39483.007709142585,40
42,29226.519537354645,40
43,37727.402911308716,40
44,42018.69465504635,40
45,42373.15034705585,40
46,31528.946919688602,40
47,17379.479976980292,40
48,50608.52514156426,60
49,41821.47109993944,60
50,42335.15899546946,60
51,43057.93521701875,60
52,46433.95909480103,60
53,43421.64699204713,60
54,48022.68916172824,60
55,44802.21544403758,60
56,40282.66804221871,60
57,48080.858060919476,60
58,48255.28580789377,60
59,42378.23091337916,60
60,36371.681399940564,60
61,40436.735169663305,60
62,53071.13757762259,60
63,41403.16966604542,60
64,36108.176638719764,80
65,52372.67363711497,80
66,48901.4807161451,80
67,43038.87585185625,80
68,38771.35302554878,80
69,53848.30668453287,80
70,44478.16306670073,80
71,50533.672962569006,80
72,52747.90166094049,80
73,50845.61151336743,80
74,32731.397261560327,80
75,52533.55542042174,80
76,42670.25831399613,80
77,49418.90743224791,80
78,48054.34542112529,80
79,47633.67647873524,80
