,AllScores,AllAiScores,AllScores_flat
0,"[-15.130132542952149, -15.872844460413107, -15.063967052066547, -15.33418823897141, -15.924051322344583, -15.677321576147556, -14.690795631409763, -16.80187871167292, -15.254862654646708, -15.37908186449944, -11.566545060797456, -15.212183672404258, -16.765413832067555, -15.534494580519148, -16.110372945603928, -15.05642635223402]",0,-15.130132542952149
1,"[-15.127867316073104, -14.476503391071073, -16.174658569601014, -15.05152133700604, -15.262568227462436, -15.061812191195747, -14.967518663091749, -14.084252223994733, -14.905039388023187, -14.086787281371418, -13.390681284976239, -15.072308503417965, -16.751129218017642, -14.822009666224648, -16.492466640033587, -15.930089655576392]",0,-15.872844460413107
2,"[-15.246203891878672, -15.98950447034603, -15.820513360764291, -15.59624946827315, -14.49398457214163, -15.673830408762164, -15.963948001117041, -15.528708403359744, -15.891561507304893, -15.27312026819748, -14.417629479763459, -15.498901926764677, -15.541122834455823, -14.92984401645702, -15.198638998012088, -15.897690610805004]",0,-15.063967052066547
3,"[-14.158489826690008, -15.35057129083685, -16.33180664533004, -15.950346753129725, -15.426774202781653, -15.138713539846323, -15.859555629275004, -14.853024807139114, -15.33673196317546, -14.26368028198323, -16.25767252236136, -15.041707421570365, -15.963146739254135, -15.788847096049468, -16.525626408778866, -15.964357047726143]",0,-15.33418823897141
4,"[-15.72227126245429, -16.1148208764181, -15.272033559558551, -15.467613743437209, -15.260521955402222, -15.561160268812882, -15.093016056500705, -16.55355761011088, -15.346573141148102, -17.819527712245748, -15.856811747829408, -16.060793811302133, -14.656650036956982, -16.261788711758633, -15.99235430619563, -14.849496358066673]",0,-15.924051322344583
5,,0,-15.677321576147556
6,,0,-14.690795631409763
7,,0,-16.80187871167292
8,,0,-15.254862654646708
9,,0,-15.37908186449944
10,,0,-11.566545060797456
11,,0,-15.212183672404258
12,,0,-16.765413832067555
13,,0,-15.534494580519148
14,,0,-16.110372945603928
15,,0,-15.05642635223402
16,,20,-15.127867316073104
17,,20,-14.476503391071073
18,,20,-16.174658569601014
19,,20,-15.05152133700604
20,,20,-15.262568227462436
21,,20,-15.061812191195747
22,,20,-14.967518663091749
23,,20,-14.084252223994733
24,,20,-14.905039388023187
25,,20,-14.086787281371418
26,,20,-13.390681284976239
27,,20,-15.072308503417965
28,,20,-16.751129218017642
29,,20,-14.822009666224648
30,,20,-16.492466640033587
31,,20,-15.930089655576392
32,,40,-15.246203891878672
33,,40,-15.98950447034603
34,,40,-15.820513360764291
35,,40,-15.59624946827315
36,,40,-14.49398457214163
37,,40,-15.673830408762164
38,,40,-15.963948001117041
39,,40,-15.528708403359744
40,,40,-15.891561507304893
41,,40,-15.27312026819748
42,,40,-14.417629479763459
43,,40,-15.498901926764677
44,,40,-15.541122834455823
45,,40,-14.92984401645702
46,,40,-15.198638998012088
47,,40,-15.897690610805004
48,,60,-14.158489826690008
49,,60,-15.35057129083685
50,,60,-16.33180664533004
51,,60,-15.950346753129725
52,,60,-15.426774202781653
53,,60,-15.138713539846323
54,,60,-15.859555629275004
55,,60,-14.853024807139114
56,,60,-15.33673196317546
57,,60,-14.26368028198323
58,,60,-16.25767252236136
59,,60,-15.041707421570365
60,,60,-15.963146739254135
61,,60,-15.788847096049468
62,,60,-16.525626408778866
63,,60,-15.964357047726143
64,,80,-15.72227126245429
65,,80,-16.1148208764181
66,,80,-15.272033559558551
67,,80,-15.467613743437209
68,,80,-15.260521955402222
69,,80,-15.561160268812882
70,,80,-15.093016056500705
71,,80,-16.55355761011088
72,,80,-15.346573141148102
73,,80,-17.819527712245748
74,,80,-15.856811747829408
75,,80,-16.060793811302133
76,,80,-14.656650036956982
77,,80,-16.261788711758633
78,,80,-15.99235430619563
79,,80,-14.849496358066673
