,AllScores,AllAiScores
0,48641.79959988653,0
1,53006.385234235335,0
2,51523.08349580768,0
3,53630.807862033565,0
4,42656.61175934386,0
5,48388.1889866278,0
6,54407.09586836639,0
7,45825.31656552667,0
8,47402.05877626582,0
9,52469.96187595936,0
10,51208.23695205378,0
11,49653.2382347266,0
12,52246.98321937743,0
13,54078.90269180322,0
14,40153.1967844468,0
15,49096.55408765001,0
16,53266.16292907385,20
17,53789.89863963265,20
18,51803.30124864395,20
19,54438.17876751429,20
20,43289.63468196964,20
21,53564.82094879711,20
22,52493.04698280481,20
23,53498.13066369657,20
24,53300.21235575647,20
25,51823.35688905535,20
26,46231.14972586992,20
27,43333.028900786856,20
28,53391.993043120805,20
29,41606.1932336129,20
30,49649.34538052403,20
31,50012.328938997984,20
32,51129.20535694112,40
33,49200.02938501377,40
34,55879.390291507014,40
35,52189.73123420112,40
36,52904.58418265052,40
37,43900.93690495627,40
38,55746.223593595096,40
39,53951.247355852625,40
40,52107.333236408675,40
41,53832.72898889908,40
42,52580.43135977235,40
43,52582.631733314636,40
44,44241.72366762353,40
45,51223.31728414935,40
46,50312.37411371072,40
47,53295.46722244892,40
48,47380.85653176764,60
49,53638.24761836817,60
50,53720.196362135466,60
51,54440.288518831796,60
52,52985.55968944523,60
53,53442.23649587452,60
54,53658.0715339353,60
55,49584.28711894833,60
56,49521.935349887804,60
57,47937.84380934882,60
58,53461.77202953239,60
59,51399.5150363238,60
60,50298.965491757735,60
61,52608.92323507987,60
62,53325.02129096194,60
63,55892.33152688056,60
64,56629.40848492413,80
65,56287.33106180093,80
66,54368.058844873965,80
67,52834.301170371844,80
68,53122.824309719676,80
69,57119.54230307584,80
70,58579.65399480354,80
71,42878.70873448553,80
72,53730.44108524078,80
73,54528.63569579263,80
74,52021.37117377809,80
75,52557.70750648514,80
76,57328.19669038613,80
77,47022.354343353676,80
78,50665.228140377025,80
79,53748.01157845163,80
