,AllScores,AllAiScores
0,58768.27134518493,0
1,46213.780174239895,0
2,50162.753388841484,0
3,51402.31930237904,0
4,51345.43873208938,0
5,50270.51488166968,0
6,50850.86976082787,0
7,56926.840082919356,0
8,52140.88412351626,0
9,58625.416144486604,0
10,58301.820587474445,0
11,55164.64949018997,0
12,50473.58612959378,0
13,52417.876563264246,0
14,47761.66722102509,0
15,48742.82580263622,0
16,49561.94828279645,20
17,57051.043395050285,20
18,57538.71506711271,20
19,52029.50190090731,20
20,50429.31951032363,20
21,48018.981311959025,20
22,52287.02997437172,20
23,48945.33246134251,20
24,58111.611584228085,20
25,56346.21335078457,20
26,55678.7176691982,20
27,53171.67944007781,20
28,52233.24695070284,20
29,55737.03275373227,20
30,55965.35012291508,20
31,58480.12704640822,20
32,52904.830665778885,40
33,51667.00991214047,40
34,58738.42814039682,40
35,56516.318551435514,40
36,58851.96942223547,40
37,56350.250863942485,40
38,47616.411608688904,40
39,53942.75481050108,40
40,57493.75592970322,40
41,58568.9525917057,40
42,48056.38239855498,40
43,58707.46087029878,40
44,58911.39079611685,40
45,56466.812930365,40
46,51939.83165556129,40
47,50639.56416256589,40
48,53544.171574653876,60
49,53691.223952432585,60
50,52032.39720587508,60
51,53774.44085890687,60
52,55307.72440952959,60
53,54038.72144568782,60
54,54149.42592032937,60
55,58886.00617227977,60
56,51555.960161244504,60
57,54020.55721942902,60
58,56809.08159536978,60
59,47332.493322354414,60
60,51175.66439385824,60
61,59042.23780968171,60
62,54689.484080294926,60
63,52569.07085078137,60
64,50319.65133943541,80
65,56923.407632451315,80
66,51697.157105193364,80
67,50452.77113283131,80
68,51549.137497591386,80
69,54511.55964638222,80
70,56479.56879149242,80
71,52906.325340211915,80
72,48400.01304916692,80
73,51731.833689160165,80
74,51713.39533550105,80
75,53517.34780699829,80
76,56012.92129472367,80
77,55736.09624904471,80
78,56016.68837252489,80
79,56391.603818834665,80
