,AllScores,AllAiScores
0,52204.34406847039,0
1,57381.319128800635,0
2,53285.23241890638,0
3,54637.92599941676,0
4,56479.19899673666,0
5,55261.419661602944,0
6,48360.047234108766,0
7,55687.6637434568,0
8,55870.52363420933,0
9,51446.33629227642,0
10,57112.88383025783,0
11,57816.62047407441,0
12,55555.76585407462,0
13,54972.36991989486,0
14,49212.1429715631,0
15,54160.029571119485,0
16,50372.88605320569,20
17,50173.40979749652,20
18,55893.74703740714,20
19,55539.12086902793,20
20,59064.6267671952,20
21,56221.05994065964,20
22,51990.74041284009,20
23,55081.06582144119,20
24,55486.39708746029,20
25,54912.44397562267,20
26,56819.17475887188,20
27,57524.17618367407,20
28,55960.17774524538,20
29,49668.16836492856,20
30,55225.59349512192,20
31,54141.10900215223,20
32,50179.31998815283,40
33,55752.29808242753,40
34,54315.013318150115,40
35,52888.24018735263,40
36,50081.199348725146,40
37,47174.69679169784,40
38,56330.95087232219,40
39,59077.38937739363,40
40,58379.54681378513,40
41,45969.50935194994,40
42,58306.201630297226,40
43,58717.03537555836,40
44,55184.59500366429,40
45,46722.34793130132,40
46,47894.97217285515,40
47,56372.89944238555,40
48,57806.525333260564,60
49,53043.162438472245,60
50,50213.626769958195,60
51,53670.55408591623,60
52,53488.917389067945,60
53,54785.296888843484,60
54,56286.820533800106,60
55,54634.38869493024,60
56,50542.13134316569,60
57,54485.28799922256,60
58,54709.014415675076,60
59,48856.62088684013,60
60,57596.85713094959,60
61,55521.257147679906,60
62,57405.81582838636,60
63,58402.71306414593,60
64,58803.53635730669,80
65,52369.99758456952,80
66,54816.41648342563,80
67,57565.438030533085,80
68,55702.66934130322,80
69,53497.086089760654,80
70,56299.03379472012,80
71,50524.86726701017,80
72,57557.87031421358,80
73,51972.690166991226,80
74,54431.46229119328,80
75,56185.62552358973,80
76,54166.308406564516,80
77,53519.52210705354,80
78,50166.29159890846,80
79,55212.24912118175,80
