,AllScores,AllAiScores,AllScores_flat
0,"[-14.683037183811834, -14.746879375826818, -15.863560006656403, -14.121527866976429, -15.886459433518844, -15.030987989244124, -14.498077460873251, -14.33090580090479, -16.10957551493682, -15.989016823102062, -13.68429941691759, -15.05872787686232, -15.211990627691176, -16.47767817251126, -16.28225790875578, -15.37461703849746]",0,-14.683037183811834
1,"[-14.131112647193117, -15.538381958091133, -14.739501298980251, -15.825514349466419, -16.198222301811338, -16.558519984252598, -15.896012818243783, -13.656304415294173, -15.991359022036761, -15.723722628196656, -16.636273864603712, -15.011672956971832, -16.130138862083413, -14.11210963785769, -15.827500538618953, -15.27563937789158]",0,-14.746879375826818
2,"[-15.689980526857727, -16.69604575234799, -15.922595370880067, -15.787570115938397, -15.378155599918305, -16.93415531840931, -15.573306328145456, -14.490310299940745, -16.407606012716126, -14.771186590929997, -15.199857513985716, -15.127930917770293, -15.95842039530453, -14.731256506979559, -15.979252001335052, -15.644318679318587]",0,-15.863560006656403
3,"[-15.389731399982665, -15.82227326810971, -14.38875257068225, -16.084513205335217, -15.486425331307256, -15.297815334277065, -17.37534658257687, -15.551280736924134, -14.936431310395882, -15.989995369826744, -14.768895435955386, -15.738345643538015, -10.457516859971477, -17.432490674799073, -15.682884869644077, -14.36251339074608]",0,-14.121527866976429
4,"[-14.160738683505187, -15.430506599879294, -15.181076046565954, -16.004682235760693, -16.835254220839683, -15.706339204666973, -15.394081277698927, -14.436945409132024, -15.65637723324784, -16.644879730062996, -15.03975669759732, -16.574901399376273, -15.067087215407962, -14.602933482723133, -15.615613640119633, -15.987538921854043]",0,-15.886459433518844
5,,0,-15.030987989244124
6,,0,-14.498077460873251
7,,0,-14.33090580090479
8,,0,-16.10957551493682
9,,0,-15.989016823102062
10,,0,-13.68429941691759
11,,0,-15.05872787686232
12,,0,-15.211990627691176
13,,0,-16.47767817251126
14,,0,-16.28225790875578
15,,0,-15.37461703849746
16,,20,-14.131112647193117
17,,20,-15.538381958091133
18,,20,-14.739501298980251
19,,20,-15.825514349466419
20,,20,-16.198222301811338
21,,20,-16.558519984252598
22,,20,-15.896012818243783
23,,20,-13.656304415294173
24,,20,-15.991359022036761
25,,20,-15.723722628196656
26,,20,-16.636273864603712
27,,20,-15.011672956971832
28,,20,-16.130138862083413
29,,20,-14.11210963785769
30,,20,-15.827500538618953
31,,20,-15.27563937789158
32,,40,-15.689980526857727
33,,40,-16.69604575234799
34,,40,-15.922595370880067
35,,40,-15.787570115938397
36,,40,-15.378155599918305
37,,40,-16.93415531840931
38,,40,-15.573306328145456
39,,40,-14.490310299940745
40,,40,-16.407606012716126
41,,40,-14.771186590929997
42,,40,-15.199857513985716
43,,40,-15.127930917770293
44,,40,-15.95842039530453
45,,40,-14.731256506979559
46,,40,-15.979252001335052
47,,40,-15.644318679318587
48,,60,-15.389731399982665
49,,60,-15.82227326810971
50,,60,-14.38875257068225
51,,60,-16.084513205335217
52,,60,-15.486425331307256
53,,60,-15.297815334277065
54,,60,-17.37534658257687
55,,60,-15.551280736924134
56,,60,-14.936431310395882
57,,60,-15.989995369826744
58,,60,-14.768895435955386
59,,60,-15.738345643538015
60,,60,-10.457516859971477
61,,60,-17.432490674799073
62,,60,-15.682884869644077
63,,60,-14.36251339074608
64,,80,-14.160738683505187
65,,80,-15.430506599879294
66,,80,-15.181076046565954
67,,80,-16.004682235760693
68,,80,-16.835254220839683
69,,80,-15.706339204666973
70,,80,-15.394081277698927
71,,80,-14.436945409132024
72,,80,-15.65637723324784
73,,80,-16.644879730062996
74,,80,-15.03975669759732
75,,80,-16.574901399376273
76,,80,-15.067087215407962
77,,80,-14.602933482723133
78,,80,-15.615613640119633
79,,80,-15.987538921854043
