,AllScores,AllAiScores,AllScores_flat
0,"[-16.188514559002368, -14.324654601633913, -16.829745186119705, -15.766604405288387, -15.504806231361249, -15.823084699580397, -15.153216532384768, -16.002363418654095, -15.717956283589082, -16.124532931265417, -15.117910683356031, -16.138247186373647, -15.770598011368104, -16.774326315272482, -15.050261850292642, -15.019908606653118]",0,-16.188514559002368
1,"[-14.209241179486972, -15.976682872820083, -16.030677125306063, -15.768677014490086, -16.172315207972748, -15.693827224920224, -14.803903111909818, -16.14139176686726, -21.819910498929836, -16.258864048252956, -15.773477414520068, -14.862606923599161, -15.02647265269347, -15.573272545695847, -16.442238727298705, -15.540813962385151]",0,-14.324654601633913
2,"[-15.54976677319971, -15.465050130732255, -15.533401209453293, -15.855979175280993, -14.649630703045986, -13.776717706964035, -14.763901453496862, -15.697246295886409, -15.994645663970042, -15.850812764440775, -16.09606919864059, -14.906225379537542, -14.408957804887073, -16.148122089549442, -15.347135153521787, -15.17814968053818]",0,-16.829745186119705
3,"[-15.406874350783392, -14.233571266670513, -15.929339053112422, -14.427504589099676, -16.12459338809822, -15.948323447029999, -14.842615106181189, -15.906973973082781, -14.8058253972516, -15.518189101133867, -15.897397597705162, -16.166757802969208, -15.238929835878515, -15.364338107638174, -14.630183619613062, -14.122614266466062]",0,-15.766604405288387
4,"[-15.82299967180187, -15.299828222858142, -15.347997656696279, -15.639626115876148, -16.035145308650524, -19.032416518602417, -15.68422164322276, -15.729849900290821, -16.02698695319991, -15.097314289218573, -16.077880837605193, -15.227500012161443, -14.816526098783779, -14.608051414939357, -14.1259929238856, -14.71074012532586]",0,-15.504806231361249
5,,0,-15.823084699580397
6,,0,-15.153216532384768
7,,0,-16.002363418654095
8,,0,-15.717956283589082
9,,0,-16.124532931265417
10,,0,-15.117910683356031
11,,0,-16.138247186373647
12,,0,-15.770598011368104
13,,0,-16.774326315272482
14,,0,-15.050261850292642
15,,0,-15.019908606653118
16,,20,-14.209241179486972
17,,20,-15.976682872820083
18,,20,-16.030677125306063
19,,20,-15.768677014490086
20,,20,-16.172315207972748
21,,20,-15.693827224920224
22,,20,-14.803903111909818
23,,20,-16.14139176686726
24,,20,-21.819910498929836
25,,20,-16.258864048252956
26,,20,-15.773477414520068
27,,20,-14.862606923599161
28,,20,-15.02647265269347
29,,20,-15.573272545695847
30,,20,-16.442238727298705
31,,20,-15.540813962385151
32,,40,-15.54976677319971
33,,40,-15.465050130732255
34,,40,-15.533401209453293
35,,40,-15.855979175280993
36,,40,-14.649630703045986
37,,40,-13.776717706964035
38,,40,-14.763901453496862
39,,40,-15.697246295886409
40,,40,-15.994645663970042
41,,40,-15.850812764440775
42,,40,-16.09606919864059
43,,40,-14.906225379537542
44,,40,-14.408957804887073
45,,40,-16.148122089549442
46,,40,-15.347135153521787
47,,40,-15.17814968053818
48,,60,-15.406874350783392
49,,60,-14.233571266670513
50,,60,-15.929339053112422
51,,60,-14.427504589099676
52,,60,-16.12459338809822
53,,60,-15.948323447029999
54,,60,-14.842615106181189
55,,60,-15.906973973082781
56,,60,-14.8058253972516
57,,60,-15.518189101133867
58,,60,-15.897397597705162
59,,60,-16.166757802969208
60,,60,-15.238929835878515
61,,60,-15.364338107638174
62,,60,-14.630183619613062
63,,60,-14.122614266466062
64,,80,-15.82299967180187
65,,80,-15.299828222858142
66,,80,-15.347997656696279
67,,80,-15.639626115876148
68,,80,-16.035145308650524
69,,80,-19.032416518602417
70,,80,-15.68422164322276
71,,80,-15.729849900290821
72,,80,-16.02698695319991
73,,80,-15.097314289218573
74,,80,-16.077880837605193
75,,80,-15.227500012161443
76,,80,-14.816526098783779
77,,80,-14.608051414939357
78,,80,-14.1259929238856
79,,80,-14.71074012532586
