,AllScores,AllAiScores,AllScores_flat
0,"[-15.7009750433056, -15.122431310589018, -15.298705296181735, -15.119680226053774, -16.594021090265706, -16.137200522297434, -16.038665024670156, -14.524585580948935, -16.046637647585836, -16.870197462014612, -15.865106733333693, -17.78054949176652, -15.942874227661676, -15.974789521551141, -15.997826847283863, -15.889631007444553]",0,-15.7009750433056
1,"[-15.375824158811149, -14.098496820537084, -15.656179202191264, -15.805412010858634, -15.218426670550505, -15.069345381548999, -14.328395538985475, -11.210930119267427, -15.305652682493124, -15.421348723270539, -16.463416192599553, -16.083891872313853, -15.967837409708782, -15.871997612568116, -15.056599149167308, -15.961809843585904]",0,-15.122431310589018
2,"[-14.706971583664814, -15.261585933898118, -15.412890193375192, -15.825539511331142, -15.722450258341514, -15.442080491515439, -15.314394352216794, -16.01111061602812, -15.716422506427353, -15.768236622348109, -17.032175562400262, -14.03481528535255, -15.850528665176988, -15.802222948160491, -15.68810534557657, -15.341162017147468]",0,-15.298705296181735
3,"[-15.730734195801741, -16.00503279360733, -16.050413023431076, -15.352882036892801, -16.04286813428627, -16.495585899428768, -15.495716976840386, -18.10220712246342, -15.609928211520513, -15.648843367811143, -16.118379857183584, -14.936891993902748, -15.46199353951145, -15.764095115880778, -15.93392537407335, -16.211558414735045]",0,-15.119680226053774
4,"[-14.277952475953654, -14.655188553103095, -14.161810765709351, -14.071035529469633, -15.147053506663324, -16.226221653285027, -15.968494943734733, -15.87581205840419, -14.894657131316407, -15.872140046461944, -15.652704621170706, -14.983381419866284, -16.063897639074177, -16.066409813366075, -15.866402543658449, -15.971672237615115]",0,-16.594021090265706
5,,0,-16.137200522297434
6,,0,-16.038665024670156
7,,0,-14.524585580948935
8,,0,-16.046637647585836
9,,0,-16.870197462014612
10,,0,-15.865106733333693
11,,0,-17.78054949176652
12,,0,-15.942874227661676
13,,0,-15.974789521551141
14,,0,-15.997826847283863
15,,0,-15.889631007444553
16,,20,-15.375824158811149
17,,20,-14.098496820537084
18,,20,-15.656179202191264
19,,20,-15.805412010858634
20,,20,-15.218426670550505
21,,20,-15.069345381548999
22,,20,-14.328395538985475
23,,20,-11.210930119267427
24,,20,-15.305652682493124
25,,20,-15.421348723270539
26,,20,-16.463416192599553
27,,20,-16.083891872313853
28,,20,-15.967837409708782
29,,20,-15.871997612568116
30,,20,-15.056599149167308
31,,20,-15.961809843585904
32,,40,-14.706971583664814
33,,40,-15.261585933898118
34,,40,-15.412890193375192
35,,40,-15.825539511331142
36,,40,-15.722450258341514
37,,40,-15.442080491515439
38,,40,-15.314394352216794
39,,40,-16.01111061602812
40,,40,-15.716422506427353
41,,40,-15.768236622348109
42,,40,-17.032175562400262
43,,40,-14.03481528535255
44,,40,-15.850528665176988
45,,40,-15.802222948160491
46,,40,-15.68810534557657
47,,40,-15.341162017147468
48,,60,-15.730734195801741
49,,60,-16.00503279360733
50,,60,-16.050413023431076
51,,60,-15.352882036892801
52,,60,-16.04286813428627
53,,60,-16.495585899428768
54,,60,-15.495716976840386
55,,60,-18.10220712246342
56,,60,-15.609928211520513
57,,60,-15.648843367811143
58,,60,-16.118379857183584
59,,60,-14.936891993902748
60,,60,-15.46199353951145
61,,60,-15.764095115880778
62,,60,-15.93392537407335
63,,60,-16.211558414735045
64,,80,-14.277952475953654
65,,80,-14.655188553103095
66,,80,-14.161810765709351
67,,80,-14.071035529469633
68,,80,-15.147053506663324
69,,80,-16.226221653285027
70,,80,-15.968494943734733
71,,80,-15.87581205840419
72,,80,-14.894657131316407
73,,80,-15.872140046461944
74,,80,-15.652704621170706
75,,80,-14.983381419866284
76,,80,-16.063897639074177
77,,80,-16.066409813366075
78,,80,-15.866402543658449
79,,80,-15.971672237615115
