,AllScores,AllAiScores
0,44793.799748662546,0
1,27050.444547990555,0
2,42561.02645067254,0
3,34081.21609138726,0
4,48039.69644833209,0
5,40343.93403871978,0
6,42894.32010059511,0
7,36614.63163664463,0
8,49811.04157674893,0
9,38753.922726922036,0
10,51586.22911476079,0
11,40638.74011944786,0
12,38113.13223158704,0
13,52635.41264956633,0
14,50414.64659166565,0
15,45900.26456014768,0
16,50181.84312727017,20
17,41050.115740856774,20
18,50664.23356119079,20
19,43386.25560193523,20
20,47287.38722806606,20
21,48284.47478472569,20
22,30827.31748605344,20
23,40793.11977285473,20
24,33706.771262677066,20
25,42800.41362571835,20
26,49014.35859629993,20
27,46771.54467902522,20
28,48573.331498500236,20
29,39190.58289572996,20
30,51554.601832269516,20
31,1237.3424768494535,20
32,52182.229204377385,40
33,44150.58941392305,40
34,36211.52681560545,40
35,54315.593243586896,40
36,40799.536059659215,40
37,37516.31103008223,40
38,48196.21144165358,40
39,48628.22249661721,40
40,29122.52113919699,40
41,51751.300862164804,40
42,42693.50103216497,40
43,41202.97198362364,40
44,48099.34181351441,40
45,51167.407007268936,40
46,28049.223229854782,40
47,47892.244078727745,40
48,40868.09742731915,60
49,49972.64256602114,60
50,42967.85393123318,60
51,52751.19923535154,60
52,54666.65494583067,60
53,49488.634209552576,60
54,52849.16698734459,60
55,47432.55879827311,60
56,55268.33322438547,60
57,53878.84211859062,60
58,53130.74160182933,60
59,53794.5531509183,60
60,54438.06449201666,60
61,45620.48381953296,60
62,46589.027250322004,60
63,50700.90790341263,60
64,53166.35416690619,80
65,34692.747627181336,80
66,50823.8044260844,80
67,49762.89571865318,80
68,50641.88763264329,80
69,52315.11526961365,80
70,44297.13575919759,80
71,51341.011019921214,80
72,55851.841425201506,80
73,50830.552103663664,80
74,47983.82135819317,80
75,52431.79986277414,80
76,46651.171246985476,80
77,53189.3485264339,80
78,50774.97142637117,80
79,52395.2672065668,80
