,AllScores,AllAiScores
0,48917.58117914789,0
1,53367.01071952245,0
2,52319.1194613816,0
3,51505.053916705445,0
4,51346.64852926039,0
5,46958.58547865956,0
6,50341.65151667979,0
7,50943.2828686781,0
8,43026.30895822229,0
9,58962.77381748866,0
10,58448.51903842224,0
11,38705.76715912645,0
12,49416.23728944723,0
13,50117.09847424788,0
14,50992.56975092219,0
15,46331.48700783561,0
16,59229.82611130125,20
17,51364.82029534153,20
18,57168.322971774556,20
19,47569.73716343768,20
20,59257.03190961227,20
21,49143.59008850378,20
22,59494.25485133769,20
23,56728.35086743667,20
24,49017.46264439524,20
25,52707.191997122434,20
26,48575.5170532755,20
27,46645.15185214427,20
28,53222.12502917906,20
29,47229.41978255122,20
30,48591.18604318316,20
31,50326.92667385308,20
32,50343.948619574476,40
33,52866.142652572235,40
34,57620.53655552688,40
35,52874.1293372224,40
36,50616.65420774336,40
37,47793.16121810925,40
38,55959.528087463426,40
39,49197.98347272644,40
40,48593.271507754434,40
41,58890.32941805055,40
42,23421.556699682533,40
43,47593.10798387763,40
44,52415.87963553193,40
45,57334.54376905892,40
46,49075.579022696686,40
47,52125.735448365165,40
48,58151.77796120623,60
49,59099.857917306894,60
50,58549.37723351675,60
51,51919.32355218028,60
52,49527.927774050455,60
53,53666.72782176985,60
54,58141.61985330555,60
55,56798.32473380285,60
56,51466.47042972381,60
57,49811.92370842959,60
58,46925.88419274074,60
59,56348.8847533266,60
60,53139.39122138531,60
61,50577.56953579228,60
62,48005.983421564386,60
63,44468.50235265358,60
64,52465.74065016606,80
65,52458.634019387864,80
66,58336.8457680235,80
67,50401.80171271993,80
68,59099.40030857694,80
69,57178.05332169395,80
70,58542.149722610135,80
71,55075.733309556745,80
72,54113.60244760402,80
73,48655.10913155183,80
74,42119.21486347018,80
75,56717.97343088225,80
76,56626.68569968863,80
77,58099.32756258963,80
78,57098.73724024848,80
79,55826.4524680432,80
