,AllScores,AllAiScores
0,51818.1882284435,0
1,55625.98545004696,0
2,52391.527721898274,0
3,56079.92606954481,0
4,56521.936773393834,0
5,55393.95874060433,0
6,56150.66406442392,0
7,56543.785898945906,0
8,47281.258836567606,0
9,46152.00246715977,0
10,58157.17299752491,0
11,48686.35911426401,0
12,50604.97072744692,0
13,56488.63933496568,0
14,48473.52257569634,0
15,56831.64358724506,0
16,57793.05581225884,20
17,56979.09458676431,20
18,46824.733031297896,20
19,53978.30388131679,20
20,56303.02424603958,20
21,57856.314875558346,20
22,50543.108591979246,20
23,58066.9393592659,20
24,56723.766928104116,20
25,57651.150227941616,20
26,58146.1144093828,20
27,54282.46603728589,20
28,55215.582078583066,20
29,54130.44385682736,20
30,55266.69382596905,20
31,54573.53434469943,20
32,53690.630007215936,40
33,52678.65632476005,40
34,56984.48402853034,40
35,47103.463553718444,40
36,57068.5143674542,40
37,49458.92541061001,40
38,54416.801351213384,40
39,58026.95268134902,40
40,52845.59322753486,40
41,49931.015445620455,40
42,53683.66557810948,40
43,52988.539794522745,40
44,55911.08667770316,40
45,56201.4074126796,40
46,56050.74721805135,40
47,48631.55684265501,40
48,54476.22754830924,60
49,58706.826385375796,60
50,58791.33224727079,60
51,58808.72726162409,60
52,56449.02841338932,60
53,54131.62660780978,60
54,57996.421283092655,60
55,53769.97106420734,60
56,57825.50082316796,60
57,56189.35299373537,60
58,56538.88776544262,60
59,56920.45999372845,60
60,55878.38180462487,60
61,53601.31266282432,60
62,53746.107365698015,60
63,53988.51192552354,60
64,52477.298456286866,80
65,50229.83733359124,80
66,46737.01993987585,80
67,57266.822822780865,80
68,57892.69390023395,80
69,48484.99810942748,80
70,54104.11865686121,80
71,48916.64147168298,80
72,53682.95405410397,80
73,52590.177328514925,80
74,55010.26580379931,80
75,57029.91665328486,80
76,52523.9492450755,80
77,57582.27918968603,80
78,52764.82326031066,80
79,52175.60167432063,80
