,AllScores,AllAiScores,AllScores_flat
0,"[-15.300665120314394, -14.574503268439832, -15.4146888921147, -15.388774559323402, -15.0208127945197, -15.672049121805667, -14.724962039011885, -15.289056993982049, -15.492067895529285, -15.931568669594647, -15.015738887242302, -15.856613111803297, -14.237337002115186, -15.366747380818468, -15.758928837158813, -15.820749302253553]",0,-15.300665120314394
1,"[-15.76200374849965, -15.848591528461936, -16.677858495425994, -15.742593490198495, -15.518888916354658, -15.758701067631566, -14.411805607572674, -14.898843274264777, -16.456343303346337, -15.857660459132113, -14.920530419292245, -14.16455044884179, -16.892563245514836, -15.955547291975408, -15.899834667731703, -15.239948861372383]",0,-14.574503268439832
2,"[-14.933540825069565, -15.37629525105103, -14.238272896581167, -14.604175742799931, -15.00766285169123, -14.15174349364118, -15.635330565558476, -15.930461421617991, -15.893030327199362, -15.131642519044465, -15.828347470982369, -15.894384504291136, -15.915505133621142, -16.36203705985232, -17.31127139742027, -14.134722868970382]",0,-15.4146888921147
3,"[-15.654439248396868, -15.631969129972585, -16.03349376135207, -15.966329522684921, -15.82604794985022, -14.644121072006346, -14.196634025803501, -16.33132924032746, -15.84109681151393, -14.401008177242197, -16.00854592684061, -16.337451999921726, -15.263292467880202, -15.277747044678389, -15.634577504606245, -15.44156887592434]",0,-15.388774559323402
4,"[-15.566973356279025, -15.860898899486706, -15.286778962315408, -15.360070714426485, -15.739480144287684, -9.872521760972855, -15.401956483527023, -15.97526799545195, -15.969687066386726, -15.471318738106973, -15.644497993424743, -15.559079769643146, -16.11998877492145, -16.029556408863296, -6.473214285714286, -15.678218964178875]",0,-15.0208127945197
5,,0,-15.672049121805667
6,,0,-14.724962039011885
7,,0,-15.289056993982049
8,,0,-15.492067895529285
9,,0,-15.931568669594647
10,,0,-15.015738887242302
11,,0,-15.856613111803297
12,,0,-14.237337002115186
13,,0,-15.366747380818468
14,,0,-15.758928837158813
15,,0,-15.820749302253553
16,,20,-15.76200374849965
17,,20,-15.848591528461936
18,,20,-16.677858495425994
19,,20,-15.742593490198495
20,,20,-15.518888916354658
21,,20,-15.758701067631566
22,,20,-14.411805607572674
23,,20,-14.898843274264777
24,,20,-16.456343303346337
25,,20,-15.857660459132113
26,,20,-14.920530419292245
27,,20,-14.16455044884179
28,,20,-16.892563245514836
29,,20,-15.955547291975408
30,,20,-15.899834667731703
31,,20,-15.239948861372383
32,,40,-14.933540825069565
33,,40,-15.37629525105103
34,,40,-14.238272896581167
35,,40,-14.604175742799931
36,,40,-15.00766285169123
37,,40,-14.15174349364118
38,,40,-15.635330565558476
39,,40,-15.930461421617991
40,,40,-15.893030327199362
41,,40,-15.131642519044465
42,,40,-15.828347470982369
43,,40,-15.894384504291136
44,,40,-15.915505133621142
45,,40,-16.36203705985232
46,,40,-17.31127139742027
47,,40,-14.134722868970382
48,,60,-15.654439248396868
49,,60,-15.631969129972585
50,,60,-16.03349376135207
51,,60,-15.966329522684921
52,,60,-15.82604794985022
53,,60,-14.644121072006346
54,,60,-14.196634025803501
55,,60,-16.33132924032746
56,,60,-15.84109681151393
57,,60,-14.401008177242197
58,,60,-16.00854592684061
59,,60,-16.337451999921726
60,,60,-15.263292467880202
61,,60,-15.277747044678389
62,,60,-15.634577504606245
63,,60,-15.44156887592434
64,,80,-15.566973356279025
65,,80,-15.860898899486706
66,,80,-15.286778962315408
67,,80,-15.360070714426485
68,,80,-15.739480144287684
69,,80,-9.872521760972855
70,,80,-15.401956483527023
71,,80,-15.97526799545195
72,,80,-15.969687066386726
73,,80,-15.471318738106973
74,,80,-15.644497993424743
75,,80,-15.559079769643146
76,,80,-16.11998877492145
77,,80,-16.029556408863296
78,,80,-6.473214285714286
79,,80,-15.678218964178875
