,AllScores,AllAiScores,AllScores_flat
0,"[-15.437537085590527, -14.55294356603285, -15.06734401408282, -15.677084224899144, -15.463429766547122, -14.180384600777643, -15.734908909200538, -15.767240125129057, -16.006428177591992, -14.869823228679799, -15.90214491571585, -15.600508472355255, -16.219226390058502, -15.581668904059041, -15.52730289991242, -15.981471275542512]",0,-15.437537085590527
1,"[-14.866602996717749, -16.006153811751766, -16.13614954436174, -15.615062133542054, -15.637217606070053, -14.8987362187117, -15.391089104949028, -15.629184407187427, -16.751641821672024, -17.03674882928003, -14.483438002322444, -14.08703181716826, -15.89749026638767, -15.629793596127405, -14.146419879442533, -15.392409658808315]",0,-14.55294356603285
2,"[-15.714792028680352, -16.17790080486968, -15.644137291326047, -14.242109359223463, -16.633187642658733, -14.784565158998376, -14.135542428720758, -15.617658192200281, -14.666621225149388, -15.587965774989595, -14.580957883024592, -16.604447877921523, -16.004930653161175, -16.409442624106727, -12.132298654481765, -16.026088922848892]",0,-15.06734401408282
3,"[-15.440802795978747, -15.757093732952006, -16.624741992597748, -15.7693922359507, -15.925761061786464, -14.460991546427188, -14.930012676085914, -16.099944344730883, -16.00398436082592, -16.059089419220143, -14.348280762176906, -15.019232457688947, -15.3718014776608, -14.828124106752902, -15.841614960301158, -15.200775123717937]",0,-15.677084224899144
4,"[-16.010349130380632, -14.048135727725239, -16.75296209779903, -15.831963124253262, -15.346918548594456, -15.920007585813789, -15.120853459558454, -16.02405940039862, -15.62873018060256, -15.413540652620341, -15.404012180700914, -16.545971420553066, -15.254819250000244, -15.646512272231961, -16.683257459275865, -15.988994537898176]",0,-15.463429766547122
5,,0,-14.180384600777643
6,,0,-15.734908909200538
7,,0,-15.767240125129057
8,,0,-16.006428177591992
9,,0,-14.869823228679799
10,,0,-15.90214491571585
11,,0,-15.600508472355255
12,,0,-16.219226390058502
13,,0,-15.581668904059041
14,,0,-15.52730289991242
15,,0,-15.981471275542512
16,,20,-14.866602996717749
17,,20,-16.006153811751766
18,,20,-16.13614954436174
19,,20,-15.615062133542054
20,,20,-15.637217606070053
21,,20,-14.8987362187117
22,,20,-15.391089104949028
23,,20,-15.629184407187427
24,,20,-16.751641821672024
25,,20,-17.03674882928003
26,,20,-14.483438002322444
27,,20,-14.08703181716826
28,,20,-15.89749026638767
29,,20,-15.629793596127405
30,,20,-14.146419879442533
31,,20,-15.392409658808315
32,,40,-15.714792028680352
33,,40,-16.17790080486968
34,,40,-15.644137291326047
35,,40,-14.242109359223463
36,,40,-16.633187642658733
37,,40,-14.784565158998376
38,,40,-14.135542428720758
39,,40,-15.617658192200281
40,,40,-14.666621225149388
41,,40,-15.587965774989595
42,,40,-14.580957883024592
43,,40,-16.604447877921523
44,,40,-16.004930653161175
45,,40,-16.409442624106727
46,,40,-12.132298654481765
47,,40,-16.026088922848892
48,,60,-15.440802795978747
49,,60,-15.757093732952006
50,,60,-16.624741992597748
51,,60,-15.7693922359507
52,,60,-15.925761061786464
53,,60,-14.460991546427188
54,,60,-14.930012676085914
55,,60,-16.099944344730883
56,,60,-16.00398436082592
57,,60,-16.059089419220143
58,,60,-14.348280762176906
59,,60,-15.019232457688947
60,,60,-15.3718014776608
61,,60,-14.828124106752902
62,,60,-15.841614960301158
63,,60,-15.200775123717937
64,,80,-16.010349130380632
65,,80,-14.048135727725239
66,,80,-16.75296209779903
67,,80,-15.831963124253262
68,,80,-15.346918548594456
69,,80,-15.920007585813789
70,,80,-15.120853459558454
71,,80,-16.02405940039862
72,,80,-15.62873018060256
73,,80,-15.413540652620341
74,,80,-15.404012180700914
75,,80,-16.545971420553066
76,,80,-15.254819250000244
77,,80,-15.646512272231961
78,,80,-16.683257459275865
79,,80,-15.988994537898176
