,AllScores,AllAiScores
0,37636.39978273015,0
1,58898.88955816647,0
2,46729.996998785355,0
3,55898.86363908296,0
4,58406.68199299041,0
5,50717.1316917491,0
6,38345.14905561398,0
7,50569.573593680696,0
8,51084.97433068634,0
9,57000.025757504445,0
10,52032.44021242133,0
11,58816.332119032515,0
12,47312.17664792039,0
13,52137.76993512703,0
14,50900.34489073289,0
15,52878.097565203745,0
16,45946.40886270959,20
17,58869.697141470264,20
18,43178.08914238923,20
19,50707.23886591602,20
20,59270.37731715434,20
21,50958.69637334929,20
22,50648.89180689108,20
23,55544.97024511325,20
24,58656.3516019445,20
25,46546.59764344775,20
26,59162.71770589743,20
27,49835.970887005176,20
28,50054.85921095885,20
29,49225.016628400575,20
30,58737.73751960202,20
31,58269.00629527246,20
32,52591.37630202412,40
33,49685.13689546437,40
34,49135.135181815735,40
35,57770.62255646196,40
36,48566.79429604457,40
37,58932.99433770995,40
38,57908.51488142979,40
39,50283.71430912421,40
40,56405.87096016933,40
41,50523.627034046745,40
42,50424.73589407116,40
43,51085.37038600868,40
44,51304.32474201988,40
45,47946.331740046255,40
46,56472.20069706261,40
47,59309.16149252068,40
48,54454.72346814862,60
49,58211.25414755246,60
50,49542.84693842873,60
51,52711.60733614297,60
52,57993.41738562881,60
53,53251.78926571505,60
54,56322.34350580425,60
55,51033.68148877671,60
56,51053.16188702024,60
57,50393.070600345236,60
58,52818.27481470817,60
59,52188.63468535036,60
60,58738.77715338558,60
61,51731.80252374251,60
62,51359.7170832466,60
63,55427.609600956144,60
64,50760.81833841977,80
65,59251.847456056945,80
66,48133.5334724568,80
67,58407.486562354905,80
68,56717.68217695528,80
69,48524.466714694485,80
70,57257.47457690393,80
71,52056.19407450411,80
72,55581.09421793633,80
73,54871.04423706458,80
74,47963.43934945858,80
75,52499.73729613605,80
76,48903.12328076423,80
77,59211.92093748907,80
78,48474.78416633797,80
79,57784.90847456603,80
