,AllScores,AllAiScores
0,37544.99623496652,0
1,39124.18704574621,0
2,41305.05677763895,0
3,44980.062074375805,0
4,41974.11697927963,0
5,51856.50388740001,0
6,44534.61413101931,0
7,37062.55979137147,0
8,47644.50711419459,0
9,30259.927440892927,0
10,44744.63584570217,0
11,39426.677306157435,0
12,32887.50390075413,0
13,37358.998224441595,0
14,49331.33069301883,0
15,40720.8202287665,0
16,44411.86501033468,20
17,47888.35145116529,20
18,37802.148225928715,20
19,49736.31306773269,20
20,41558.76148550845,20
21,48560.52182786836,20
22,50466.05481479277,20
23,39483.87361369903,20
24,45232.77904667454,20
25,42849.38756839975,20
26,47510.28155224264,20
27,44836.68040300529,20
28,49479.76712838499,20
29,41342.00491352104,20
30,46108.110909701005,20
31,43624.57904978128,20
32,41656.76341129567,40
33,50390.989041549394,40
34,47828.53652724547,40
35,51993.78545031144,40
36,50068.096088997256,40
37,44162.71913794368,40
38,40111.165695468146,40
39,45747.167741910474,40
40,44924.13504257065,40
41,53654.86601101631,40
42,43156.71796652147,40
43,51203.15869146833,40
44,41269.988418369714,40
45,46129.824952708645,40
46,50651.71974760121,40
47,43901.9976238659,40
48,51753.2390858275,60
49,45629.08424833467,60
50,50778.18006402022,60
51,46525.40083778639,60
52,53349.76388282524,60
53,50321.16626005042,60
54,47533.83786520722,60
55,52234.682240146525,60
56,52712.76760670167,60
57,49357.50195252988,60
58,35478.052834311144,60
59,41945.897232289695,60
60,50648.8537612143,60
61,50970.909987753475,60
62,50081.53121965618,60
63,53588.371537184765,60
64,54705.94715232289,80
65,39854.59279324152,80
66,50881.1420528571,80
67,49271.71510947385,80
68,46015.92961132073,80
69,47149.76340277738,80
70,42217.646141220976,80
71,47986.29162476844,80
72,56961.75031694687,80
73,52300.10752195783,80
74,49992.15379575755,80
75,48376.24509823484,80
76,54844.744139865565,80
77,52803.57676823762,80
78,48020.84871771218,80
79,53312.948892473236,80
