,AllScores,AllAiScores
0,31935.507654296624,0
1,12782.72060329953,0
2,31254.145412213085,0
3,29734.468489202663,0
4,21372.122711836186,0
5,18538.499851573666,0
6,44529.348842923464,0
7,40058.592268430904,0
8,25111.959781685226,0
9,27396.24737196815,0
10,22391.363810720013,0
11,17499.86586404734,0
12,37284.98693079587,0
13,17082.18321642569,0
14,28265.970508387738,0
15,21307.446120952405,0
16,38696.309493549015,20
17,44198.34083807897,20
18,38849.43987301162,20
19,17407.80472157554,20
20,30338.310764676058,20
21,24640.46882638472,20
22,45997.826847551136,20
23,36703.354249513366,20
24,26026.763377352403,20
25,30896.922191572765,20
26,47685.08320860088,20
27,34021.1596749517,20
28,37124.79989148686,20
29,44809.40966172912,20
30,15599.450943243133,20
31,32562.897086204724,20
32,47201.96730939756,40
33,49584.59151894802,40
34,35630.36184616257,40
35,32610.664605268008,40
36,36163.96537636865,40
37,38750.89828122141,40
38,41381.985761963486,40
39,49226.85177446681,40
40,39644.99321901572,40
41,35764.84024898776,40
42,43578.79941355092,40
43,38672.41217122792,40
44,49021.95937635388,40
45,41184.75923821731,40
46,42915.81627660449,40
47,5728.047703165585,40
48,39388.44194481044,60
49,37226.24262744897,60
50,49122.077314983515,60
51,40657.84967793434,60
52,32999.95013039157,60
53,45663.67501611453,60
54,49629.944813104186,60
55,50905.67189288232,60
56,25050.16604723573,60
57,20906.462465145985,60
58,45057.36520493186,60
59,41879.51045184966,60
60,38615.036704184204,60
61,46497.624917247485,60
62,27395.062890211444,60
63,47315.62854167736,60
64,50744.122822966034,80
65,35212.11447175585,80
66,50697.0199028189,80
67,56923.41081470334,80
68,41349.41447984111,80
69,51053.350278851525,80
70,53118.934504669145,80
71,50608.63843516243,80
72,23858.4038927421,80
73,41398.36024783317,80
74,53641.061342493886,80
75,48320.06286882272,80
76,51161.28801043402,80
77,48526.458302171384,80
78,48885.81945250649,80
79,52628.77727938788,80
