,AllScores,AllAiScores,AllScores_flat
0,"[-15.209485050943751, -16.28204485424663, -16.46429793053668, -15.269739398304147, -18.04159388601902, -16.152274412597194, -14.295148447482259, -16.079229785796265, -15.956737571345002, -16.26577122607724, -15.558494744238379, -14.49495614378052, -15.911748517458763, -15.633429969824565, -14.400035262115663, -15.966615017362393]",0,-15.209485050943751
1,"[-15.021739824244566, -15.717954765473834, -14.761592205592223, -14.15069794325831, -15.878841726483426, -15.391298181816028, -16.12163519673524, -15.960019780852637, -15.270226471402903, -15.081920136621088, -15.638691987098934, -15.94111625035551, -15.361435257493703, -15.605551020143533, -15.199070507866008, -14.000929883463101]",0,-16.28204485424663
2,"[-14.715019049574924, -16.058475689235475, -15.034337090069094, -14.245934806265772, -15.142474759097581, -15.675309375561989, -14.536595660562377, -15.801785228188413, -15.575985424640525, -16.315716041085615, -15.56631182055414, -15.995003069691037, -15.916521156514118, -15.828094362600972, -15.20303904519249, -14.782770168101752]",0,-16.46429793053668
3,"[-15.887505759019607, -16.00475904045259, -15.977358833449443, -16.106441845438514, -14.591670177581978, -16.0234895650942, -15.939483866309942, -14.535140694217125, -15.425474039325929, -15.343694381488698, -15.505946006268726, -15.261550614101047, -16.16021019863219, -15.396045554087797, -16.761574736073413, -14.743390840213763]",0,-15.269739398304147
4,"[-15.414046131245733, -15.992270730417072, -15.866270019533648, -14.352803447194441, -15.860065851535818, -15.353768549594735, -17.356664462133608, -14.232884805329235, -15.384545817521744, -15.65089379874789, -15.218220800887874, -15.865667722658484, -15.998683234962193, -14.859584571690807, -15.557116724027455, -15.951334725050682]",0,-18.04159388601902
5,,0,-16.152274412597194
6,,0,-14.295148447482259
7,,0,-16.079229785796265
8,,0,-15.956737571345002
9,,0,-16.26577122607724
10,,0,-15.558494744238379
11,,0,-14.49495614378052
12,,0,-15.911748517458763
13,,0,-15.633429969824565
14,,0,-14.400035262115663
15,,0,-15.966615017362393
16,,20,-15.021739824244566
17,,20,-15.717954765473834
18,,20,-14.761592205592223
19,,20,-14.15069794325831
20,,20,-15.878841726483426
21,,20,-15.391298181816028
22,,20,-16.12163519673524
23,,20,-15.960019780852637
24,,20,-15.270226471402903
25,,20,-15.081920136621088
26,,20,-15.638691987098934
27,,20,-15.94111625035551
28,,20,-15.361435257493703
29,,20,-15.605551020143533
30,,20,-15.199070507866008
31,,20,-14.000929883463101
32,,40,-14.715019049574924
33,,40,-16.058475689235475
34,,40,-15.034337090069094
35,,40,-14.245934806265772
36,,40,-15.142474759097581
37,,40,-15.675309375561989
38,,40,-14.536595660562377
39,,40,-15.801785228188413
40,,40,-15.575985424640525
41,,40,-16.315716041085615
42,,40,-15.56631182055414
43,,40,-15.995003069691037
44,,40,-15.916521156514118
45,,40,-15.828094362600972
46,,40,-15.20303904519249
47,,40,-14.782770168101752
48,,60,-15.887505759019607
49,,60,-16.00475904045259
50,,60,-15.977358833449443
51,,60,-16.106441845438514
52,,60,-14.591670177581978
53,,60,-16.0234895650942
54,,60,-15.939483866309942
55,,60,-14.535140694217125
56,,60,-15.425474039325929
57,,60,-15.343694381488698
58,,60,-15.505946006268726
59,,60,-15.261550614101047
60,,60,-16.16021019863219
61,,60,-15.396045554087797
62,,60,-16.761574736073413
63,,60,-14.743390840213763
64,,80,-15.414046131245733
65,,80,-15.992270730417072
66,,80,-15.866270019533648
67,,80,-14.352803447194441
68,,80,-15.860065851535818
69,,80,-15.353768549594735
70,,80,-17.356664462133608
71,,80,-14.232884805329235
72,,80,-15.384545817521744
73,,80,-15.65089379874789
74,,80,-15.218220800887874
75,,80,-15.865667722658484
76,,80,-15.998683234962193
77,,80,-14.859584571690807
78,,80,-15.557116724027455
79,,80,-15.951334725050682
