,AllScores,AllAiScores
0,52346.68309539447,0
1,58897.166312599045,0
2,57887.45225030193,0
3,48540.024874938965,0
4,56307.493819486284,0
5,49107.86522603198,0
6,48113.29281511906,0
7,51666.481541815585,0
8,49933.014929606536,0
9,48698.32979874791,0
10,47826.590603850156,0
11,51218.81051840314,0
12,58936.99808535699,0
13,49842.35973457791,0
14,57081.750297932194,0
15,48437.42142291047,0
16,50629.81999001519,20
17,46088.87546188056,20
18,52132.75989201787,20
19,52370.072749135084,20
20,50523.97485018428,20
21,57863.74672642904,20
22,58610.647629021274,20
23,55154.51892405856,20
24,56017.82402086434,20
25,59107.423052661936,20
26,52995.112400439946,20
27,53847.23294044033,20
28,58521.75244142042,20
29,50420.50018298025,20
30,47304.15697670977,20
31,57154.85010670598,20
32,52105.2379547523,40
33,54599.32572888225,40
34,58478.30429406826,40
35,52937.10786513625,40
36,52171.76445116782,40
37,50944.97847647789,40
38,58205.35517285517,40
39,57694.38687191328,40
40,50646.95034307344,40
41,56071.14080636576,40
42,54253.235126326785,40
43,57554.523771472006,40
44,56603.86039475179,40
45,48641.08215069522,40
46,52222.97920406828,40
47,53067.03876498843,40
48,58555.37204229698,60
49,52281.105617455425,60
50,55686.96160857478,60
51,56545.17540803561,60
52,49533.051685240745,60
53,50963.72390176226,60
54,55506.8824447176,60
55,46485.3927593309,60
56,54910.01358289179,60
57,49426.653567557005,60
58,58848.21833077691,60
59,57657.99806185749,60
60,58963.04999428105,60
61,58754.03495063118,60
62,58210.081557189114,60
63,54196.5333141158,60
64,58311.9272384098,80
65,54297.161359310456,80
66,56613.37821701143,80
67,56241.458556924226,80
68,53056.19901739899,80
69,55875.134212329096,80
70,55840.44367095457,80
71,59127.75112896753,80
72,55359.45344241899,80
73,57503.203481125274,80
74,50835.60254863362,80
75,53615.283218955425,80
76,52259.82423404049,80
77,52758.05552496258,80
78,55221.968055010795,80
79,52161.04336465508,80
