,AllScores,AllAiScores
0,49616.72232542052,0
1,48639.497511890004,0
2,52930.645912769076,0
3,52475.467365084834,0
4,48032.66488093166,0
5,51739.882050463784,0
6,50658.25563760689,0
7,49231.19032323603,0
8,52989.369274276876,0
9,53235.098869318914,0
10,53419.94865004673,0
11,52496.47403436784,0
12,49352.47220540432,0
13,43492.41132341225,0
14,53430.27476710769,0
15,51087.69169550686,0
16,54613.80593726318,20
17,49997.66496637636,20
18,51924.86849587463,20
19,51854.4752080267,20
20,55167.334647593176,20
21,34700.43429907557,20
22,50739.28534336322,20
23,47629.20171507282,20
24,52483.278650041204,20
25,53105.15265524076,20
26,49573.8550287113,20
27,50693.94202551322,20
28,52602.54722556221,20
29,50566.70567114785,20
30,52309.41680353619,20
31,44743.67409809692,20
32,45568.014763589264,40
33,55773.33207391774,40
34,52869.308852535956,40
35,51132.5306554567,40
36,54809.70192676619,40
37,53034.795492011275,40
38,53893.231621945066,40
39,46308.37307679065,40
40,54651.54761577673,40
41,49007.05182112786,40
42,52757.790389851165,40
43,46676.49160790567,40
44,52897.12418591806,40
45,53091.426541111476,40
46,50981.54758840683,40
47,50577.956419405076,40
48,57217.93155718692,60
49,47990.17346830454,60
50,54606.067120007414,60
51,47533.002959718644,60
52,54462.18109267589,60
53,56203.44467458405,60
54,42204.26093840489,60
55,51253.69336927403,60
56,54757.10408808612,60
57,50940.09794490077,60
58,53094.9861455217,60
59,51829.49374085779,60
60,52295.74524981683,60
61,54314.77244466038,60
62,50539.20907115001,60
63,56009.3043568652,60
64,48315.69692077545,80
65,52529.54538804212,80
66,54488.43485675453,80
67,49553.279271215724,80
68,55909.70875934308,80
69,52789.667330445576,80
70,52050.73853135576,80
71,55529.250084611514,80
72,57386.378196283986,80
73,51694.59554055946,80
74,45856.60517310599,80
75,50062.23228939878,80
76,57219.90248922743,80
77,48660.3555052432,80
78,52514.97690910173,80
79,52478.89420667584,80
