,AllScores,AllAiScores
0,4281.000544534534,0
1,8015.03551256529,0
2,-6127.456728385354,0
3,7042.517347583527,0
4,400.8694513968039,0
5,-3055.4624489331136,0
6,19327.34782438914,0
7,19666.791347005754,0
8,19293.006072962187,0
9,18010.97592855406,0
10,17448.009270467326,0
11,28800.821654989482,0
12,2292.1188270821963,0
13,18601.790737781354,0
14,7629.027942290637,0
15,17226.50061455828,0
16,11821.301904738453,20
17,5254.043299789097,20
18,20616.667949882703,20
19,11430.428603774175,20
20,11576.262275405677,20
21,2983.893943042418,20
22,38762.28955122513,20
23,10488.018295581775,20
24,29952.215477311132,20
25,13989.76009807837,20
26,19373.185595834642,20
27,4738.448400780082,20
28,30968.395865619834,20
29,-19172.28885431625,20
30,15818.612767958579,20
31,12901.554604268453,20
32,15438.299740542821,40
33,17903.234500833143,40
34,15386.361771506095,40
35,3715.3549941295314,40
36,31315.16254647517,40
37,20259.807308962532,40
38,25843.5036151439,40
39,25567.064033972787,40
40,1962.063843541701,40
41,42501.63333925946,40
42,29027.028087619652,40
43,4677.2972404491275,40
44,36979.45142869085,40
45,11828.704867025646,40
46,7719.586401327731,40
47,32736.702516680234,40
48,19298.783227405565,60
49,19504.312797385468,60
50,28626.812259595263,60
51,35226.28274198324,60
52,31567.48043207058,60
53,24767.55430529278,60
54,21525.93007159831,60
55,35523.422229435855,60
56,31279.480298914455,60
57,33973.14458526387,60
58,33471.45949684276,60
59,19540.914043572528,60
60,40150.45806476364,60
61,18424.935352608558,60
62,36593.793235362835,60
63,33125.53293024321,60
64,18807.533294320216,80
65,30489.87206647191,80
66,28933.787833552997,80
67,28149.12962872936,80
68,38349.26713822219,80
69,23971.72004824389,80
70,36610.32288912658,80
71,41712.58056512993,80
72,41254.66979143091,80
73,22933.944501873455,80
74,41245.37221870781,80
75,38099.35661581689,80
76,48553.76357281554,80
77,29191.362165039514,80
78,51647.19355126434,80
79,40118.17555323936,80
