,AllScores,AllAiScores,AllScores_flat
0,"[-15.36369309002265, -15.238374868498253, -14.756638166642308, -16.00642369161526, -15.351706301354042, -14.928054275711823, -14.531769507234882, -15.90157825146949, -15.599770336130787, -15.425182345580962, -14.297465042728541, -15.622289955735821, -14.058262834776336, -15.913475627743587, -14.929115374878753, -14.414056080603736]",0,-15.36369309002265
1,"[-14.703457020755096, -14.423333084400673, -15.462373314374773, -16.056646038820023, -15.242817977517113, -15.146244226495739, -14.839414378120459, -15.788158511038468, -16.12661344782062, -15.994532292123568, -15.324264148690599, -15.576017385953604, -16.847332431029844, -15.287152267000945, -15.034000509135367, -16.139078073974623]",0,-15.238374868498253
2,"[-15.316056339134917, -15.839405502696248, -16.0471681058028, -14.867679624408002, -14.466273799866649, -15.310191255729151, -15.81793156102231, -14.819377550152856, -15.624954202579243, -15.939640439555603, -15.965089490978007, -15.911760133574663, -15.21855799790428, -15.882503270878997, -14.275546811996152, -15.207030118130369]",0,-14.756638166642308
3,"[-15.495714575037987, -14.134885534717588, -15.31682743651185, -15.657644841053656, -15.326835843094681, -14.812847383523392, -16.397876142068984, -15.438871148936332, -15.285355342327513, -15.289080441092619, -16.583011240629236, -15.712417063313591, -14.979672297516014, -15.668144016076049, -14.983824195215448, -16.340880946825628]",0,-16.00642369161526
4,"[-15.791837518432077, -14.184653676667637, -15.335397567977228, -15.923589540692422, -15.245678982184325, -16.721508890052633, -14.97773672795108, -14.921223438120377, -15.912069856432474, -15.821525793503376, -14.850461376548472, -16.010136636014366, -15.76344059877244, -14.575837757806688, -16.11698969351679, -15.967140133984014]",0,-15.351706301354042
5,,0,-14.928054275711823
6,,0,-14.531769507234882
7,,0,-15.90157825146949
8,,0,-15.599770336130787
9,,0,-15.425182345580962
10,,0,-14.297465042728541
11,,0,-15.622289955735821
12,,0,-14.058262834776336
13,,0,-15.913475627743587
14,,0,-14.929115374878753
15,,0,-14.414056080603736
16,,20,-14.703457020755096
17,,20,-14.423333084400673
18,,20,-15.462373314374773
19,,20,-16.056646038820023
20,,20,-15.242817977517113
21,,20,-15.146244226495739
22,,20,-14.839414378120459
23,,20,-15.788158511038468
24,,20,-16.12661344782062
25,,20,-15.994532292123568
26,,20,-15.324264148690599
27,,20,-15.576017385953604
28,,20,-16.847332431029844
29,,20,-15.287152267000945
30,,20,-15.034000509135367
31,,20,-16.139078073974623
32,,40,-15.316056339134917
33,,40,-15.839405502696248
34,,40,-16.0471681058028
35,,40,-14.867679624408002
36,,40,-14.466273799866649
37,,40,-15.310191255729151
38,,40,-15.81793156102231
39,,40,-14.819377550152856
40,,40,-15.624954202579243
41,,40,-15.939640439555603
42,,40,-15.965089490978007
43,,40,-15.911760133574663
44,,40,-15.21855799790428
45,,40,-15.882503270878997
46,,40,-14.275546811996152
47,,40,-15.207030118130369
48,,60,-15.495714575037987
49,,60,-14.134885534717588
50,,60,-15.31682743651185
51,,60,-15.657644841053656
52,,60,-15.326835843094681
53,,60,-14.812847383523392
54,,60,-16.397876142068984
55,,60,-15.438871148936332
56,,60,-15.285355342327513
57,,60,-15.289080441092619
58,,60,-16.583011240629236
59,,60,-15.712417063313591
60,,60,-14.979672297516014
61,,60,-15.668144016076049
62,,60,-14.983824195215448
63,,60,-16.340880946825628
64,,80,-15.791837518432077
65,,80,-14.184653676667637
66,,80,-15.335397567977228
67,,80,-15.923589540692422
68,,80,-15.245678982184325
69,,80,-16.721508890052633
70,,80,-14.97773672795108
71,,80,-14.921223438120377
72,,80,-15.912069856432474
73,,80,-15.821525793503376
74,,80,-14.850461376548472
75,,80,-16.010136636014366
76,,80,-15.76344059877244
77,,80,-14.575837757806688
78,,80,-16.11698969351679
79,,80,-15.967140133984014
